Open Requisitions Report
# Records: 222

"Requisition Status","Requisition Division","Requisition ID","Requisition Location","Job Category","Requisition Position","Requisition Display Job Title","Requisition Date Opened","Requisition Days Open","Requisition Address 1","Requisition Address 2","Requisition City","Requisition State/Province","Requisition Postal Code","Requisition Description - External","Requisition Primary Owner - Full Name"
"Open","CMH SERVICES","req176","HOME-HOME OFFICE","Customer Service","L/G SPECL P/T","Part Time Lead Generation Specialist - Maryville, TN","08/18/2016 12:01 PM","87","5000 CLAYTON RD","","MARYVILLE","TN","37804","Part Time Lead Generation SpecialistClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.  Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.POSITION SUMMARY:L/G Specialists are responsible for delivering prompt, accurate, courteous customer service via phone, fax, mail, or email. Should be able to communicate closely with potential customers. Must be a team player with the ability to hit targeted goals.  ESSENTIAL FUNCTIONS:Provide excellent communication skills with potential customers, home centers, and managers. Encourage team work. Be a team player. Ability to hit targeted goals. Document and maintain all contacts. Ability to motivate team members and potential customers. Promote company image through professional service and actions.  REQUIREMENTS AND QUALIFICATIONS:High School Diploma or GED required. Computer competency with Microsoft Office and typing skills at minimum 25 wpm. Great attention to detail and organizational skills. Ability to work in a team environment. Willing to learn, hard-working, determined and assertive.   BENEFITS:Work-life balance Community philanthropy Collaborative and energetic work environment- teamwork Professional development and promotion opportunities- culture of mentoring 401(K) includes 100% company match of the first 4% Wellness Programs and On-site workout facility On-site restaurant Bonuses!!!You will find much more information about Clayton Homes by visiting our career site at:   http://careers.claytonhomes.com   Job Category: Customer Service","TESKE, JESSICA"
"Open","CMH SERVICES","req178","HOME-HOME OFFICE","Customer Service","L/G SPECL P/T","Part Time Bilingual Lead Generation Specialist - Maryville, TN","08/18/2016 12:14 PM","87","5000 CLAYTON RD","","MARYVILLE","TN","37804","Part Time Bilingual Lead Generation SpecialistClayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.  Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.POSITION SUMMARY:L/G Specialists are responsible for delivering prompt, accurate, courteous customer service via phone, fax, mail, or email. Should be able to communicate closely with potential customers. Must be a team player with the ability to hit targeted goals.  ESSENTIAL FUNCTIONS:Provide excellent communication skills with potential customers, home centers, and managers. Encourage team work. Be a team player. Ability to hit targeted goals. Document and maintain all contacts. Ability to motivate team members and potential customers. Promote company image through professional service and actions.  REQUIREMENTS AND QUALIFICATIONS:Bilingual - Fluent in English and SpanishHigh School Diploma or GED required. Computer competency with Microsoft Office and typing skills at minimum 25 wpm. Great attention to detail and organizational skills. Ability to work in a team environment. Willing to learn, hard-working, determined and assertive.   BENEFITS:Work-life balance Community philanthropy Collaborative and energetic work environment- teamwork Professional development and promotion opportunities- culture of mentoring 401(K) includes 100% company match of the first 4% Wellness Programs and On-site workout facility On-site restaurant Bonuses!!!You will find much more information about Clayton Homes by visiting our career site at:   http://careers.claytonhomes.com   Job Category: Customer Service","TESKE, JESSICA"
"Open","CMH SERVICES","req165","HOME-HOME OFFICE","Information Technology",".NET DEVELOPER III-TM2",".NET Developer - Maryville, TN","08/16/2016 11:55 AM","89","5000 CLAYTON RD","","MARYVILLE","TN","37804","  .NET Developer  Clayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.  Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.  Description:Software Web Application DeveloperResponsible for the overall application software design and implementation. Documents development requirements for database, applications, and operation system environment. Consults with end users to test and debug applications to meet client needs. Serves as proficient in all aspects of designing and application development. May conduct mentoring to IT Staff. Prefer a Bachelor's Degree and at least 3 years of experience in the web application development field. Demonstrates proficiency in a variety of the field's concepts, practices, and procedures. Relies on experience and judgment to plan and accomplish goals. Performs a variety of complicated tasks. May provide consultation on complex projects and is considered to be a top level contributor/specialist. Reports to a director of a department. Has strong communication written and verbal skills. Works well as part of a small to medium sized development team.  Technical Knowledge Requirements: Microsoft ASP.NET MVC 4+Microsoft SQL ServerJavaScriptjQueryAJAXXMLJSONAGILE/Scrum development methodologyAny experience working with iSeries is a plus.  BENEFITS:401(K) includes 100% company match of the first 4%Medical and Dental Plan with Prescription Coverage and VisionPaid Time Off days and holidaysWellness Programs and On-site fitness facilityOn-site restaurantTeam Share Quarterly Bonus  You will find much more information about Clayton Homes by visiting our website at: www.claytonhomes.com  Job Category: Information Technology","TESKE, JESSICA"
"Open","CMH SERVICES","req221","HOME-HOME OFFICE","Information Technology","APP DEVELOPER II - TM1","RPG Developer - Maryville, TN","08/25/2016 03:55 PM","80","5000 CLAYTON RD","","MARYVILLE","TN","37804","RPG Application Developer  Clayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.  Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.  ESSENTIAL FUNCTIONS:Applicant Developers are responsible for developing, designing, testing, implementing and documenting applicationsDevelop complex algorithms and programming code for software solutions.Design the logic that delivers the computing system functionality.Test the application and develop enhancements that enable a positive end-user experience.Produce application programs in accordance with specified business needs.Works well in a competitive, fast-paced environment, while working as a team, and also communicate progress, technical issues and their resolution.  REQUIREMENTS:iSeries – RPG (modern skills required) including but not limited to RPG IV, RPG Free, ILE.Use of embedded SQL, Service Programs, Modules, Binding, Activation Groups.  BENEFITS:401(K) includes 100% company match of the first 4%Medical and Dental Plan with Prescription Coverage and VisionPaid Time Off days and holidaysWellness Programs and On-site workout facilityOn-site restaurantTeam Share Quarterly Bonus  You will find much more information about Clayton Homes by visiting our website at:www.claytonhomes.com  Job Category: Information Technology","TESKE, JESSICA"
"Open","CMH SERVICES","req455","HOME-HOME OFFICE","Information Technology","BI REPORTING TL","Business Intelligence Reporting Team Leader - Maryville, TN","10/26/2016 09:31 AM","18","5000 CLAYTON RD","","MARYVILLE","TN","37804","     Business Intelligence Analyst    Clayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing. Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.  Responsibilities:    Design, develop, test, implement, and maintain analytic solutions leveraging centrally managed reporting tools such as Cognos and Microsoft BI (SSRS, Power Pivot, SharePoint BI)  Support existing analytic solutions, including modernization/standardization, troubleshooting, and annual maintenance as needed  Create visually appealing reports and dashboards that intuitively present information  Leverage data warehouse as basis of reporting with star-schema implementations  Meet with internal customers to develop project scope for analytic and research requests  Work with end-users on self-service analytics including direct line support and training  Manage ticket queue requests for ad hoc report and query creation or self-service guidance  Assist with testing/reconciliation, code review, and documentation for supported platforms  Keep up to date with evolving technologies and applications    Desired Skills (not required):    Cognos Framework Manager, Microsoft Power Query, or other data modeling experience  Advanced statistical software such as SPSS, R, SAS, or JMP  “Big Data” or Hadoop  SharePoint 2010+ to support BI portals/sites  Experience with Performance Point Dashboard Designer or equivalent dashboard tool  Microsoft Office expertise (especially advanced Excel techniques such as VBA based UDFs)  UI/UX  Agile or Kanban workflow management techniques    Benefits:    401(K) includes 100% company match of the first 4%  Medical and Dental Plan with Prescription Coverage and Vision  Paid Time Off days and holidays  Tuition Assistance  Wellness Programs and On-site fitness facility  On-site restaurant  BONUSES!!!   ","TESKE, JESSICA"
"Open","CMH SERVICES","req291","HOME-HOME OFFICE","Information Technology","BUSINESS SYSTEMS ANALYST","Business System Analyst - Maryville, TN","09/14/2016 09:53 AM","60","5000 CLAYTON RD","","MARYVILLE","TN","37804","     Business Systems Analyst  Clayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing. Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.  The Business Systems Analyst serves as a liaison between various business units and IT to define processes and identify process improvement opportunities. This position may also document stakeholder requirements, measure/monitor process efficiency, maintain project plans, and assist with communication programs and training.  The BSA reviews, analyzes, and evaluates business systems and user needs. Responsibilities also include documenting requirements, defining scope and objectives, and formulating systems to parallel overall business strategies. In addition, the BSA will have ETL responsibilities.     ESSENTIAL DUTIES AND RESPONSIBILITIES     Document current processes by conducting interviews, site visits, document analysis, process mapping, and task analysis.  Evaluate information gathered from multiple sources, reconcile conflict, and distinguish user requests from underlying true needs.  Make recommendations for standardizing processes across various business units and draft operating procedures.  Drive the implementation of process improvement solutions by clearly identifying stakeholder requirements.  Drive quality and efficiency process metrics.  Maintain projects plans to facilitate progress reports and ensure deliverables are met.  Extract data from disparate one off databases of two different business acquisitions for import to enterprise financial software and reporting.  Take an aged file comprised of multiple files merged over time and map the data to a new relational database while normalizing the data removing duplicates.  Integration of 3rd party software with enterprise reporting tools and financials.     Benefits    401(K) includes 100% company match of the first 4%  Medical and Dental Plan with Prescription Coverage and Vision  Paid Time Off days and holidays  Wellness Programs and On-site fitness facility  On-site restaurant  Team Share Quarterly Bonus  ","Natour, Fadi"
"Open","CMH SERVICES","req161","HOME-HOME OFFICE","Information Technology","DIGITAL MEDIA DEV-WEB","UI/UX Developer (PubWeb) - Maryville, TN","08/12/2016 04:51 PM","93","5000 CLAYTON RD","","MARYVILLE","TN","37804","UI/UX Developer  Clayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.  Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.  JOB DESCRIPTION    Help to define and implement new feature requirements with an eye towards visual appeal  Works closely with the design team on UI/UX solutions  Design solutions to complex workflows  Create standards-compliant, cross-browser-compatible HTML & CSS for visual designs with pixel-level accuracy and attention to detail  Work to define, maintain, implement, and enforce style guides, standards, reusable mark-up and best practices for client-side coding  Write and integrate with client-side application code (e.g. JavaScript) as needed  Continuously improve the design and drive implementation of existing applications    JOB REQUIREMENTS    4+ years recent experience in visual design craftsmanship, combined with a keen ability to anticipate and address user needs  Portfolio of work is mandatory  HTML and CSS experience including knowledge of cross-browser compatibility issues  JavaScript, including knowledge of modern frameworks/libraries (i.e. AngularJS) and the ability to rapidly prototype interactions and user experiences  Proficient knowledge of Photoshop or comparable product  Fluency in best practices for web-based information architecture and design, as well as strong knowledge of usability principles and techniques  Experience creating UIs for mobile platforms  Wireframes, Prototyping  Experience designing for A/B, multivariate and/or behavioral targeting tests  Object-oriented development  Unit Testing, Test Driven Development (TDD), Behavior Driven Development (BDD) and Coded UI  Agile methodologies such as Scrum and Kanban  Written communication skills including the ability to explain technical issues to a non-technical audience    Preferred Technology Stack:   Microsoft C#, Asp.NET, MVC, Angular (preferred), Rest API’s, MS SQL Server.  BENEFITS:    401(K) includes 100% company match of the first 4%  Medical and Dental Plan with Prescription Coverage and Vision  Paid Time Off days and holidays  Wellness Programs and On-site fitness facility  On-site restaurant  Team Share Quarterly Bonus    You will find much more information about Clayton Homes by visiting our website at: www.claytonhomes.com  Job Category: Information Technology","TESKE, JESSICA"
"Open","CMH SERVICES","req423","HOME-HOME OFFICE","Information Technology","DIR OF CYBER SECURITY OPS","Director, Cyber Security Operations - Maryville, TN","10/18/2016 09:16 AM","26","5000 CLAYTON RD","","MARYVILLE","TN","37804","     Position Description: Director, Cyber Security Operations  Clayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing. Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.  This leader will oversee a team that conducts cyber security vulnerability assessments and penetration testing as well as overall corporate information security and DLP efforts. They also gather and report on cyber threats and provide a thoughtful response to ensure the uninterrupted and consistent delivery of business and information technology services anywhere Clayton Homes does business. This team is the focal point for the coordination with the Clayton cyber security incident response team when a cyber security event occurs.     The successful candidate will join Enterprise Technology Operations (ETO) division and will be responsible for development, leadership, and implementation of the Security Operations program. This person will lead a team of high performers which have responsibility for the building & maintaining of Clayton’s Security program including all risk frameworks, compliance, technologies and environments. In addition to staff development and talent management, he/she will provide strategic guidance to teams and individual contributors.  This role must instill a culture that works toward the highest standards in security operations while ensuring that business objectives are understood and adhered.  Managing and reporting operational security risks in new and existing infrastructure designs are properly understood and supported while maintaining business agility.  Essential Job Functions:  This is an expert/lead management and technical role. While reporting to the Director of ETO this person defines the cyber security cyber operations, programs and processes for the enterprise. The role is involved in projects or issues of high complexity that require in-depth knowledge across multiple technical areas and business segments. Coaching and development of technical Cyber Security leaders will be required.  Position Responsibilites:    Is responsible for the development and maintenance of the cyber security strategy.  Provides leadership in network and system security advice and risk analysis to business units who engage with the Cyber Security team.  Develops and leads the Enterprise Threat and Vulnerability Management team to ensure a well-defined program operates to identify, risk rate, and track vulnerabilities to remediation.  Works closely with the Security Operations Center (SOC) and Cyber Security Threat Intelligence to ensure security threat information, system log information, and sources of external intelligence are combined to provide real time response to cyber events.  Defines, gathers and reports on metrics regarding all security systems within the Clayton Homes’ operations.    Key areas of Responsibility    Policy and standards management  Data privacy management  Information security compliance  Threat and vulnerability management  Risk management  Security incident response  Technology implementation and management  Business continuity and disaster recovery process integration  Special emphasis in information security and risk management strategy and process development  Proven success in developing, implementing, sustaining, and enhancing enterprise information security and risk management programs.  Specialties: - Passion for people: team work, collaboration, and leading  Strategy, efficient processes, automation, metrics and reporting –  Information Security compliance –  ","TESKE, JESSICA"
"Open","CMH SERVICES","req174","HOME-HOME OFFICE","Information Technology","ENTERPRISE ARCHITECT","Enterprise Architect: Business - Maryville, TN","08/17/2016 05:09 PM","88","5000 CLAYTON RD","","MARYVILLE","TN","37804","Enterprise Architect: Business  Clayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing.  Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.  Job Description:  The Business Architect plays a key role in structuring the enterprise in terms of its governance structure, business processes, and business information. This person aligns strategic goals and objectives with decisions regarding products and services; partners and suppliers; organization; capabilities; and key business and IT initiatives. The primary focus is the business motivations, business operations and business analysis frameworks and related networks that link these aspects of the enterprise together. The Business Architect works to develop an integrated view of the enterprise using a repeatable approach, cohesive framework, and available industry standard techniques.  Specific responsibilities of this position include, but are not limited to:  Develop a business architecture strategy based on a situational awareness of various business scenarios and motivations.Apply a structured business architecture approach and methodology for capturing the key views of the enterprise.Capture the tactical and strategic enterprise goals that provide traceability through the organization and are mapped to metrics that provide ongoing governance.Describe the primary business functions of the enterprise and distinguish between customer-facing, supplier-related, business execution and business management functions.Define the set of strategic, core and support processes that transcend functional and organizational boundaries; identify and describe external entities such as customers, suppliers, and external systems that interact with the business; and describe which people, resources and controls are involved in the processes.Define the data shared across the enterprise and the relationships between those data.Capture the relationships among roles, capabilities and business units, the decomposition of those business units into subunits, and the internal or external management of those units.Working with business and advising them on key architectural decisions concerning business processes and supporting frameworks.Evaluating projects from a business strategy stance, guaranteeing that the projects align with the organizations vision, mission, goals and objectives.Producing business architectures that are modifiable, dependable and scalableDelivering solutions to the business including consolidation, and integration with stress on strategic advantage.Document, recommend and defend enterprise standards for the business architecture.Collaborating with other architects, developers and engineers to create synergies and drive business strategy within and across projects.Effectively managing priorities, deliverables and timelines with little need for escalation.Providing leadership and mentoring to less experienced team members.Presenting recommendations and solutions clearly and concisely and able to focus on key points to portray the intended message or purpose.Driving desired outcomes and decisions through trust and influence.  Job Requirements:  A broad, enterprise-wide view of the business and varying degrees of appreciation for strategy, processes and capabilities, enabling technologies, and governanceThe ability to recognize structural issues within the organization, functional interdependencies and cross-silo redundanciesThe ability to apply architectural principles to business solutionsThe ability to assimilate and correlate disconnected documentation and drawings, and articulate their collective relevance to the organization and to high-priority business issuesExperience using model-based representations that can be adjusted as required to collect, aggregate or disaggregate complex and conflicting information about the businessThe ability to visualize and create high-level models that can be used in future analysis to extend and mature the business architectureExtensive experience planning and deploying both business and IT initiativesExperience modeling business processes using a variety of tools and techniquesExceptional communication skills and the ability to communicate appropriately at all levels of the organization; this includes written and verbal communications as well as visualizationsThe ability to act as liaison conveying information needs of the business to IT and data constraints to the business; applies equal conveyance regarding business strategy and IT strategy, business processes and work flow automation, business initiatives and IT initiatives, and benefit realization and service deliveryTeam player able to work effectively at all levels of an organization with the ability to influence others to move toward consensusStrong situational analysis and decision making abilitiesAbility to work independently and manage multiple task assignments .High level of energy, drive, and creativity to solve complex business problems and overcome complex challenges.Strong leadership, confidence, verbal and influencing skills. High level of executive presence.Strong oral communication, written and presentation skills. Demonstrate the ability to present complex information, in a clear and concise manner to a variety of audiences, in large and small groups.Strong organization, facilitation, analytical and deductive reasoning skills. Capable of thinking through problems in a systematic and logical manner in order to produce solutions.Documented ability to communicate the value project solution to resonate with all levels of the organization.Current knowledge of industry best practices for business architecture.Proven analysis skills and ability to conduct research for data and business logic issues as required.Proven innovative thought process and problem solving abilities.Knowledge or certification in TOGAF is a strong plus.Bachelor’s degree and at least 8 years of equivalent professional experience.Ideal candidate has either retail, manufacturing and/or supply chain experience OR experience in financial lending and loan institutions.  Benefits:  401(K) includes 100% company match of the first 4%Medical and Dental Plan with Prescription Coverage and VisionPaid Time Off days and holidaysWellness Programs and On-site fitness facilityOn-site restaurantTeam Share Quarterly Bonus  You will find much more information about Clayton Homes by visiting our career site at: http://careers.claytonhomes.com/   Job Category: Information Technology","TESKE, JESSICA"
"Open","CMH SERVICES","req457","HOME-HOME OFFICE","Information Technology","ETL DEVELOPER III","ETL DEVELOPER III - Maryville, TN","10/26/2016 09:56 AM","18","5000 CLAYTON RD","","MARYVILLE","TN","37804","     ETL Developer Job Description  Clayton Homes, a Berkshire Hathaway company and the nation’s leading housing provider, is a vertically integrated housing company that builds, sells, and insures affordable housing. Our commitment to creating a World Class Customer Experience is unparalleled in the housing industry; we take pride in ensuring that all Clayton homeowners receive a high level of customer service from the time they visit one of our Home Centers all the way through to the time they take ownership of their new home.   Responsibilities:    Responsible for building and maintaining ETL processes with SQL Server Integration Services (SSIS) or other enterprise-level tools  Responsible for the scripts and stored procedures required to extract, transform, clean and move data and metadata so they can load into the enterprise data warehouse, data marts or operational data stores  Participate in full life cycle development including requirements gathering, analysis, design, development, testing, maintenance, and documentation  Define functional design for requirements implementation  Responsible for working closely with end users, application development and business analysis teams to create logical and physical database designs  Translate data models into ETL designs  Keep up to date with evolving technologies and applications  Assist with testing, code reviews, troubleshooting, and training  Look for innovative ways to improve processes, procedures and performance       Desired Skills (not required):    Strong SSIS skill set  Experience with Pragmatic Works software; include BI xPress, Workbench, and LegiTest  Experience with Embarcadero ER/Studio  Experience with agile project management    Benefits:    401(K) includes 100% company match of the first 4%  Medical and Dental Plan with Prescription Coverage and Vision  Paid Time Off days and holidays  Tuition Assistance  Wellness Programs and On-site fitness facility  On-site restaurant  BONUSES!!!   ","TESKE, JESSICA"
